  Page 1                                             17-02-2014 23:18:05
  **********************************************************************
  *                             E P A N E T                            *
  *                     Hydraulic and Water Quality                    *
  *                     Analysis for Pipe Networks                     *
  *                           Version 2.0                              *
  **********************************************************************
  
  Input File: saomamede1.13.1 (calibrado).NET
  
  prueba
  
  Link - Node Table:
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  n183                  0.20    217.06     69.16      0.00
  n181                  0.17    217.08     64.58      0.00
  n185                  0.05    217.06     80.06      0.00
  n182                  0.22    217.08     86.68      0.00
  n170                  0.10    217.11     71.61      0.00
  n167                  0.00    217.22     87.72      0.00
  n168                  0.10    217.14     69.14      0.00
  n171                  0.00    217.18     89.78      0.00
  nv172                 0.00    217.18     90.38      0.00
  n179                  0.00    217.11     71.21      0.00
  n180                  0.04    217.11     52.21      0.00
  n169                  0.08    217.14     70.84      0.00
  n173                  0.11    217.18     87.78      0.00
  n184                  0.15    217.06     84.46      0.00
  n95                   0.03    354.70     71.70      0.00
  n96                   0.00    354.70     77.19      0.00
  n92                   0.00    355.76     53.46      0.00
  n94                   0.02    355.76     45.46      0.00
  nv89                  0.00    355.76     55.06      0.00
  n89                   0.16    355.76     55.06      0.00
  n2                    0.01    359.25      3.35      0.00
  n84                   0.03    356.93     48.93      0.00
  n102                  0.01    308.49     40.39      0.00
  n103                  0.01    308.49     35.59      0.00
  n99                   0.01    308.50     36.60      0.00
  n100                  0.01    308.50     35.20      0.00
  n153                  0.00    285.25     39.15      0.00
  nv153                 0.00    285.25     39.15      0.00


  Page 14                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n97                   0.01    308.50     36.80      0.00
  n98                   0.01    308.50     34.70      0.00
  n93                   0.02    355.76     46.86      0.00
  n91                   0.03    355.76     48.06      0.00
  n90                   0.00    355.76     54.36      0.00
  n3                    0.11    360.70     47.50      0.00
  n152                  0.00    285.43     39.03      0.00
  n88                   0.09    356.24     54.04      0.00
  n1                    0.03    363.28      7.38      0.00
  n119                  0.00    353.64     83.84      0.00
  n120                  0.07    353.64     83.84      0.00
  n121                  0.00    353.63     83.73      0.00
  n122                  0.00    353.63     83.73      0.00
  n101                  0.01    308.50     45.30      0.00
